,Id,Sentence
1623,IL3_NW_031227_20140217_G0040006D_segment_4,"Problems like sinking and cracking walls happened due to earthquake in schools, hospitals, theaters, museum, and the offices of the Communist Party and the local government."
1954,IL3_NW_031260_20160109_G00400053_segment_11,"Some scientists warned that the climate change might extend the season of summer forest fires, so that the number of forest fires might increase."
1778,IL3_NW_031234_20160217_G004030C7_segment_7,"As of last October, there were 4180 babies who were diagnosed with ""microcephaly."" Among them there were 49 babies who died. According to researches, eight babies who were diagnosed with ""microcephaly"" were infected along with their mothers."
338,IL3_DF_020007_20160125_G00400B97_segment_25,"Brazil says the number of babies born with suspected microcephaly or abnormally small heads since October has now reached nearly 4,000."
1560,IL3_NW_031221_20160317_G0040005F_segment_6,"Zu Baoqu, the second-in-command of the team, reported, ""At 9:00 pm, we received a command from the superior authority"
2001,IL3_SN_000370_20140214_G0T00000L_segment_0,A Koran didn't get damaged in the burning house during a fire hazard in United Arab Republic... http://t.co/7prZDs43Xm
2358,IL3_WL_031228_20140215_G0040006I_segment_3,"( x"" M# \9 )7 v% y : E"" D2 H"" During the earthquake, walls of some houses were cracked. [0 b& G"
2229,IL3_WL_031219_20140215_G0040005M_segment_5,"The most importantly, there is your Lord who saved you from the magnitude 7.3 fatal earthquake, although you lost your properties."
908,IL3_DF_020015_20160213_G004013VX_segment_21,"2 p+ r( ~; z% W7 J"" p1 f; e0 I2 v7 f 7 z$ [2 J"" s x5 o"
879,IL3_DF_020008_20160429_G00400KIF_segment_6,"We remembered our child with our every breath, and we were full of grief when our child got sick."
