,Id,Sentence
1843,IL3_NW_031237_20160128_G004030D1_segment_16,"More clothes are needed during the cold weather and unstable weather climate, and avoid going to crowded places."
1789,IL3_NW_031235_20160225_G0040006S_segment_9,The village government around the city area made sure to send fodder to the countryside surrounding the village of Xibe.
2302,IL3_WL_031228_20140215_G0040006G_segment_26,This area of Atchan village is a mountain area which was sparsely populated and loosely inhabited.
2383,IL3_WL_031229_20140225_G0040006K_segment_25,This area of Atchan village is a mountainous area which was sparsely populated and loosely inhabited.
1260,IL3_NW_031208_20140515_G0040004Y_segment_29,"According to the leader of Achchan town, - - Nebijan Dölet, production and life have gotten back to normal."
254,IL3_DF_020007_20151018_G00400E7Q_segment_38,"All the dirty brothels under the various names must be closed and the owners shot, that is it."
2184,IL3_WL_031216_20140215_G0040005J_segment_0,"Cracks Appear in Office Walls in Keriya, Hotan after the Strong Earthquake"
1001,IL3_DF_031211_20150522_G0040007W_segment_14,Native folks were tremendously upset.
523,IL3_DF_020008_20140220_G00400IAW_segment_20,"So, the match is relative."
2163,IL3_WL_031211_20150522_G0040006V_segment_7,Grape vines were uprooted.
