,Id,Sentence
1978,IL3_NW_031266_20140430_G004030DO_segment_4,"Two years ago, the virus had been found in Saudi Arabia for the first time. Saudi Arabia was one of the most impacted regions."
1811,IL3_NW_031237_20140505_G0040006T_segment_28,"A leader of Badakhshan province, Sawali, stated that the number of houses and wedding guests was approximately 2700 people."
797,IL3_DF_020008_20160429_G00400K1T_segment_64,"I am now kidding. The man with 115 kilogram weight, like a pig, beat his helpless wife. I really should have called 110 to imprison him."
221,IL3_DF_020007_20150405_G00400E51_segment_99,Any physician or doctor does not want to suffer himself by purposely getting sick first and cure himself for healing other patients.
960,IL3_DF_020015_20160502_G004014C5_segment_17,"Fortunately, she hid in the restroom that has the resource of water. She knew how to save herself, even though she was so small. It is not easy."
2139,IL3_WL_031211_20150522_G0040006V_segment_11,The valleys have not seen that much water for centuries and there is a huge amount of water flowing there.
778,IL3_DF_020008_20160429_G00400K1T_segment_47,"First, you need to report to the police again. If they ignore it, you should call the program of Law and Citizen."
381,IL3_DF_020007_20160125_G00400B97_segment_64,"According to the latest news, Zika arrived in Europe and one patient was found in Denmark."
1790,IL3_NW_031237_20140505_G0040006T_segment_0,"The government of Afghanistan decided to change the place that a landslide occurred, into a communal cemetery."
66,IL3_DF_020007_20141012_G00400E53_segment_15,"Patrick Sawyer, a Liberian official, died after he went to Nigeria and he was infected in the Ebola epidemic."
