,Id,Sentence
2003,IL3_SN_000370_20140311_G0T000047_segment_0,"Since there was no clue about Malaysia Airlines, survey teams from many nations continue searching http://t.co/dszzNs1qwI"
2074,IL3_WL_031211_20140213_G00400065_segment_11,The Seismology Bureau of China sent a team to Keraya for carrying on a field work.
437,IL3_DF_020007_20160502_G0040128W_segment_7,"1945: The United Nations Educational, Scientific, and Cultural Organization is founded in Paris."
2346,IL3_WL_031228_20140215_G0040006G_segment_7,...Greetings like these has become a hot topic on our modern communication platform WeChat in no time at all.
1771,IL3_NW_031234_20160217_G004030C7_segment_0,Small-headed babies who were negatively affected by the Zika virus in Brazil.
1740,IL3_NW_031234_20150805_G004030CV_segment_10,"According to research, baby camels carry crown-like viruses."
1667,IL3_NW_031231_20160307_G00400071_segment_4,In the picture: a women looks very concerned while sitting and holding her baby.
1074,IL3_DF_031212_20140219_G0040007R_segment_19,Teaching program language for the kids. The author's outstanding topics.
1251,IL3_NW_031208_20140515_G0040004Y_segment_20,"This made him the target of people's criticisms, but he continued to be strict while checking."
935,IL3_DF_020015_20160502_G004013ZA_segment_26,"In 1881, Alexander Fleming was born in Scotland. He came to London when he was 16 years old."
