,Id,Sentence
2159,IL3_WL_031211_20150522_G0040006V_segment_3,"According to the elder people, a disastrous flood like this has never emerged in the history of the city."
2177,IL3_WL_031213_20140216_G0040005Y_segment_0,The Representatives of Charitable Fathers and Merciful Mothers Visited the Affected Community
2192,IL3_WL_031216_20140215_G0040005L_segment_0,The Ilqi Company delivered love to the people in the disaster area of Hotan
1578,IL3_NW_031222_20140217_G0040005R_segment_6,"All leaders from province, county, and village visited the local disaster area."
2145,IL3_WL_031211_20150522_G0040006V_segment_17,"May 21, 2015, the flood lost; its control slowly decreased."
1004,IL3_DF_031211_20150522_G0040007W_segment_17,"On May 21, 2015, the flood, which was out of control, started to abateslowly through the afternoon."
1027,IL3_DF_031211_20150522_G0040007W_segment_38,May Allah bless you. Feedback reported.
586,IL3_DF_020008_20140225_G004001HU_segment_20,The soul of the populus may encourage your writing...bravo!!!!
2136,IL3_WL_031211_20150522_G0040006V_segment_0,Erkim : A Flood Hits Qumul
1059,IL3_DF_031211_20150522_G0040007W_segment_67,May Allah prevent disasters like this.
