,Id,Sentence
1827,IL3_NW_031237_20151208_G004030D6_segment_5,"H1N1, an A category virus, is the most common component of swine flu, which has symptoms similar to a regular cold."
1769,IL3_NW_031234_20151208_G004030CL_segment_5,"H1N1, an A category virus, is the most common component of swine flu, which has symptoms similar to a regular cold."
1969,IL3_NW_031266_20140413_G004030DR_segment_6,The cruise was planning to travel to Los Angles on November 14[th] and carried 4000 passengers and staff. Two passengers were infected.
221,IL3_DF_020007_20150405_G00400E51_segment_99,Any physician or doctor does not want to suffer himself by purposely getting sick first and cure himself for healing other patients.
431,IL3_DF_020007_20160502_G0040128W_segment_23,The chairman Mao said that the comrade who recognized his fault is good comrade. So we decided to forgive you.
797,IL3_DF_020008_20160429_G00400K1T_segment_64,"I am now kidding. The man with 115 kilogram weight, like a pig, beat his helpless wife. I really should have called 110 to imprison him."
1811,IL3_NW_031237_20140505_G0040006T_segment_28,"A leader of Badakhshan province, Sawali, stated that the number of houses and wedding guests was approximately 2700 people."
1029,IL3_DF_031211_20150522_G0040007W_segment_4,"In Tohochi, Kariz, their only source of water, a source with hundreds of years of history, was buried by the dirt."
778,IL3_DF_020008_20160429_G00400K1T_segment_47,"First, you need to report to the police again. If they ignore it, you should call the program of Law and Citizen."
1420,IL3_NW_031214_20140215_G00400061_segment_47,"Then his wife was ashamed, and dismounted from the donkey. And the passersby joked them again that why were they not riding their prepared donkey?"
