,Id,Sentence
1320,IL3_NW_031209_20160218_G004030EN_segment_15,"Picture: Recife, Brazil; Kaylie embraces a girl with microcephaly."
905,IL3_DF_020015_20160213_G004013VX_segment_19,"8 z+ A"" f; @8 Y : T' e }: U6 q: T2 c1 B0 L5 I Këriye Meripet Net"
2008,IL3_SN_000370_20150904_G0T0002ED_segment_0,Turkey claimed the complexity of information regarding the suspect of Thailand bombing: Turkey... http://t.co/GeKAwKVkBb
1234,IL3_NW_020016_20150427_G004030C3_segment_3,"The volcano, after lying dormant for 54 years, erupted again at 7:00 am on the 22nd."
1779,IL3_NW_031235_20160225_G0040006S_segment_0,Around ten thousand head of livestock were trapped in the mountains in Dorbiljin District.
860,IL3_DF_020008_20160429_G00400KIF_segment_36,The Human traffickers and drug dealers on sight...
866,IL3_DF_020008_20160429_G00400KIF_segment_41,The human traffickers and drug dealers on sight...
871,IL3_DF_020008_20160429_G00400KIF_segment_46,The human traffickers and drug dealers on sight...
855,IL3_DF_020008_20160429_G00400KIF_segment_31,The human traffickers and drug dealers on sight...
653,IL3_DF_020008_20160429_G00400GLC_segment_24,Drink wine in the skull of Wu Song?
