,Id,Sentence
9,IL3_DF_020007_20140826_G00400ER1_segment_17,"He didn't die in the ice bucket challenge, right. The quarry is supposed to be prohibited if it is necessary to ban something."
38,IL3_DF_020007_20140826_G00400ER1_segment_43,This ice bucket challenge is nonsense and it might be some people's game to show themselves to the public for being popular.
2009,IL3_SN_000370_20150911_G0T0002H1_segment_0,"America marks 14th anniversary of September 11, 2001 Attacks: On Friday in New York City... http://t.co/9T7SeDmx0o"
2315,IL3_WL_031228_20140215_G0040006G_segment_38,"This picture was taken during the 2008 earthquake in Keriye. You can check it through this web address, * Y0 V8 {4 n2 R2 \( y"
1324,IL3_NW_031209_20160218_G004030EN_segment_19,Picture: Grandfather Wilson gives a kiss to two months old Huan Pidiro.
684,IL3_DF_020008_20160429_G00400GLC_segment_52,The excellent qualities of the progressive nation that has 5000 years civilization are being revealed and surprising the world.
1671,IL3_NW_031232_20140213_G0040006N_segment_10,"Source: Alim Rahman, The main editor of Xinjiang Television Station Network."
15,IL3_DF_020007_20140826_G00400ER1_segment_22,"He didn't die in an ice bucket, but died in an iced pool or in ice water."
1924,IL3_NW_031243_20160427_G0040007F_segment_2,"The tremor was very strong in cities like Urumchi, Sanji, Chochek, Kuytun, and Shixo."
1915,IL3_NW_031240_20160225_G0040007B_segment_3,Meteorologists in Thailand predict that 2016 might be the worst drought year in 40-50 years.
