,Id,Sentence
541,IL3_DF_020008_20140220_G00400IAW_segment_37,"But there was a text named ""Hasan tells the truth"" in our elementary school book."
926,IL3_DF_020015_20160502_G004013ZA_segment_18,The Nan Ning meeting is a meeting among some leaders from local and central government.
789,IL3_DF_020008_20160429_G00400K1T_segment_57,"If the phone number was left here, I would argue for him on phone."
2217,IL3_WL_031219_20140215_G0040005M_segment_15,Everybody regardless where they are from prepared with all their power and departed to the affected area.
2437,IL3_WL_031256_20151228_G00400050_segment_3,"Besides this, power outages have affected more than 6000 businesses and residential areas."
2145,IL3_WL_031211_20150522_G0040006V_segment_17,"May 21, 2015, the flood lost; its control slowly decreased."
994,IL3_DF_031211_20140214_G0040007O_segment_9,"Pray for our poor mothers, fathers, brothers and sisters. May our merciful Allah bless all of you. Feedback reported."
2076,IL3_WL_031211_20140213_G00400065_segment_13,This is the link for Phoenix and please watch the details here.
1027,IL3_DF_031211_20150522_G0040007W_segment_38,May Allah bless you. Feedback reported.
2253,IL3_WL_031226_20140215_G0040005W_segment_0,Donated Material Aid Departs to the Destination
