,Id,Sentence
96,IL3_DF_020007_20150405_G00400E51_segment_102,"They insisted that somebody in Istanbul had the medicine and they offered me 100% profit if I could get the medicine for them. When I told them there was no such a medicine, when I showed them the arguments on the Izdinish website, they said they knew that but they wanted to try with the last little hope. I was upset and just politely refused their request by saying something good."
1794,IL3_NW_031237_20140505_G0040006T_segment_12,"On the 3[rd], Halili, the vice president of Afghanistan, personally visited the disaster area and showed that the government would try their best to launch rescue work. Razuwed Teweter, the representative of president Karzai, stated that the president already declared May 4[th] as a national day of mourning."
1435,IL3_NW_031214_20140215_G00400061_segment_9,"Because it's known to us that last year a young man spread a rumor on our public platform Wechat that Yesam Kurban, the current Nesirdin Apendim, was dead. As a result, this young man was charged because his rumor disrupted the social stability according to the law."
1760,IL3_NW_031234_20151109_G004030CK_segment_2,"Recently, due to an extremely heavy rain and the safety plan being negatively affected, the contagion spread to 15 states of the country, and additionally, one out of five infected people was a teenager."
1820,IL3_NW_031237_20140505_G0040006T_segment_8,"Snid, from the Police Office of Badakhshan province, stated, ""Because we had no choice left, we drove a compactor machine into the disaster are. But the outcome was not ideal."""
1134,IL3_DF_031212_20140308_G0040007Q_segment_42,Two stranger I never forget* I tried to fund 180thousand (request)* Three* A female college student lack of money ( One Yuan Plan... All the headline of author
1769,IL3_NW_031234_20151208_G004030CL_segment_5,"H1N1, an A category virus, is the most common component of swine flu, which has symptoms similar to a regular cold."
1827,IL3_NW_031237_20151208_G004030D6_segment_5,"H1N1, an A category virus, is the most common component of swine flu, which has symptoms similar to a regular cold."
1969,IL3_NW_031266_20140413_G004030DR_segment_6,The cruise was planning to travel to Los Angles on November 14[th] and carried 4000 passengers and staff. Two passengers were infected.
431,IL3_DF_020007_20160502_G0040128W_segment_23,The chairman Mao said that the comrade who recognized his fault is good comrade. So we decided to forgive you.
