,Id,Sentence
1911,IL3_NW_031239_20150327_G00400056_segment_4,Many firefighters from around Chile have begun to fight the fires that have burned several hundred hectares of forests.
2356,IL3_WL_031228_20140215_G0040006I_segment_15,As a result of the initial investigation it has been confirmed that the death toll was zero. The financial damage situation is under review.
2001,IL3_SN_000370_20140214_G0T00000L_segment_0,A Koran didn't get damaged in the burning house during a fire hazard in United Arab Republic... http://t.co/7prZDs43Xm
2436,IL3_WL_031256_20151228_G00400050_segment_2,"According to the results of the initial investigation, 11 people have died as a result of the disaster and 15 people were injured."
908,IL3_DF_020015_20160213_G004013VX_segment_21,"2 p+ r( ~; z% W7 J"" p1 f; e0 I2 v7 f 7 z$ [2 J"" s x5 o"
959,IL3_DF_020015_20160502_G004014C5_segment_16,"` i; a* _ + J/ T0 C, o% i4 D* p; b5 n # S0 d* s!"
1402,IL3_NW_031214_20140215_G00400061_segment_30,Only the grasslands were destroyed because of the landslide. About 300 livestock were killed because of the collapse of the sheepfolds.
879,IL3_DF_020008_20160429_G00400KIF_segment_6,"We remembered our child with our every breath, and we were full of grief when our child got sick."
947,IL3_DF_020015_20160502_G004013ZA_segment_6,"3 R) M5 A9 p5 K/ T, e; d+ D & ~4 m!"
921,IL3_DF_020015_20160502_G004013ZA_segment_13,"y* @# V# W8 V8 P"" c# k "" G4 D& N, ~1 L"" U' z1 f"
