,Id,Sentence
20,IL3_DF_020007_20140826_G00400ER1_segment_27,Why it is necessary to upload their videos for showing what they did if they want to make a donation.
1637,IL3_NW_031227_20140220_G00400068_segment_0,"People from ""Ihlas"" donated goods worth 600 thousand yuan to the disaster area."
2180,IL3_WL_031213_20140216_G0040005Y_segment_3,Langger village in Keriya was the first stop for them and they visited 220 affected families.
789,IL3_DF_020008_20160429_G00400K1T_segment_57,"If the phone number was left here, I would argue for him on phone."
1070,IL3_DF_031212_20140219_G0040007R_segment_15,"This letter was written on Feb 18th, 2014 in Kiriye Maripet Bookstore."
2217,IL3_WL_031219_20140215_G0040005M_segment_15,Everybody regardless where they are from prepared with all their power and departed to the affected area.
864,IL3_DF_020008_20160429_G00400KIF_segment_4,"But if my child is safe, I will want to call you elder brother at once."
1283,IL3_NW_031208_20150610_G00400076_segment_9,"Because of the sandstorm, many scheduled flights were delayed at Hotan Airport."
2107,IL3_WL_031211_20140214_G00400066_segment_28,"You generosity cannot reach Keriya because it is too ""far"" ?"
2437,IL3_WL_031256_20151228_G00400050_segment_3,"Besides this, power outages have affected more than 6000 businesses and residential areas."
